Array Design Name	Illumina HumanRef-6 Expression BeadChip
Provider	Jack Zhu(zhujack@mail.nih.gov)
Comment[ArrayExpressAccession]	A-GEOD-7306
Comment[SecondaryAccession]	GPL7306
Comment[Description]	Array Manufacturer: Illumina Inc., Distribution: custom-commercial, Technology: oligonucleotide beads, The Sentrix Human-6 BeadChip can be used to study expression of over 47,000 human transcripts. Researchers can generate whole-genome expression profiles for 6 samples in parallel on a single BeadChip. Array is composed of 3 micron features with average feature redundancy of 30-fold . All features are QCed by sequential hybridizations process called array decoding. Probes are fully screened all-full-length 50-mers. Assay requires 50-100ng of total RNA input. Array content is based on RefSeq and additional space is occupied by targets selected from Unigene build 163 and Gnomon databases.<br>Reporter Database Entry [genbank] = RefSeq identifier LINK_PRE:http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=
Comment[SubmittedName]	Illumina HumanRef-6 Expression BeadChip
Comment[Organism]	Homo sapiens
Comment[ArrayExpressReleaseDate]	2011-05-12
Printing Protocol	http://www.illumina.com/technology/platform/tech_plat_arraymfg.ilmn
Surface Type	
Substrate Type	
Term Source Name	genbank

Reporter Name	Comment[Target]	Reporter Database Entry [genbank]	Comment[SPOT_ID]
9028	GI_27735128-S	NM_173507.1	
9029	GI_27735130-S	NM_173511.1	
9030	GI_27735132-S	NM_173510.1	
9031	GI_27735136-S	NM_173512.1	
9032	GI_27735138-S	NM_173515.1	
9033	GI_27735140-S	NM_173675.1	
9034	GI_27735142-S	NM_173674.1	
9035	GI_27735144-S	NM_173689.1	
9036	GI_27735146-S	NM_173684.1	
9037	GI_27735148-S	NM_173514.1	
9038	GI_27735152-S	NM_173517.1	
9039	GI_27735154-S	NM_173516.1	
9040	GI_27754147-S	NM_152646.2	
9041	GI_27754148-S	NM_020137.2	
9042	GI_27754165-S	NM_013937.2	
9043	GI_27754173-S	NM_173808.1	
9044	GI_27754187-S	NM_173714.1	
9045	GI_27754191-S	NM_173712.1	
9046	GI_27754193-S	NM_173713.1	
9047	GI_27754195-S	NM_173710.1	
9048	GI_27754197-S	NM_173711.1	
9049	GI_27754199-S	NM_173708.1	
9050	GI_27754201-S	NM_173709.1	
9051	GI_27754203-S	NM_173704.1	
9052	GI_27754205-S	NM_173705.1	
9053	GI_27754207-S	NM_173702.1	
9054	GI_27754209-S	NM_173703.1	
9055	GI_27754211-S	NM_007225.1	
9056	GI_27754764-A	NM_005031.3	
9057	GI_27754764-I	NM_005031.3	
9058	GI_27754765-I	NM_021902.2	
9059	GI_27754766-I	NM_021603.2	
9060	GI_27754767-A	NM_001680.3	
9061	GI_27754767-I	NM_001680.3	
9062	GI_27754770-A	NM_002587.3	
9063	GI_27754770-I	NM_002587.3	
9064	GI_27754772-I	NM_032420.2	
9065	GI_27754774-S	NM_001133.2	
9066	GI_27754777-A	NM_173452.1	
9067	GI_27764860-S	NM_002471.1	
9068	GI_27764862-S	NM_001636.1	
9069	GI_27764864-S	NM_001763.1	
9070	GI_27764866-S	NM_003179.1	
9071	GI_27764872-S	NM_015986.2	
9072	GI_27764881-S	NM_018192.2	
9073	GI_27764903-S	NM_173160.1	
9074	GI_27765075-I	NM_173088.1	
9075	GI_27765077-A	NM_173089.1	
9076	GI_27765082-I	NM_001750.4	
9077	GI_27765084-I	NM_173060.1	
9078	GI_27765086-A	NM_173061.1	
9079	GI_27765086-I	NM_173061.1	
9080	GI_27765088-I	NM_173062.1	
9081	GI_27765092-A	NM_173217.1	
9082	GI_27765094-I	NM_003032.2	
9083	GI_27765095-A	NM_173344.1	
9084	GI_27765097-I	NM_003033.2	
9085	GI_27765098-S	NM_006927.2	
9086	GI_27777631-S	NM_003047.2	
9087	GI_27777635-S	NM_003200.1	
9088	GI_27777654-S	NM_024979.2	
9089	GI_27777666-S	NM_173851.1	
9090	GI_27777668-S	NM_173857.1	
9091	GI_27777672-S	NM_173856.1	
9092	GI_27777674-S	NM_173858.1	
9093	GI_27804306-S	NM_002998.1	
9094	GI_27804312-S	NM_015973.2	
9095	GI_27804314-S	NM_173860.1	
9096	GI_27881480-S	NM_002872.3	
9097	GI_27881481-S	NM_014314.2	
9098	GI_27881483-S	NM_017590.4	
9099	GI_27881485-I	NM_173055.1	
9100	GI_27881493-A	NM_173059.1	
9101	GI_27881504-A	NM_005692.3	
9102	GI_27881504-I	NM_005692.3	
9103	GI_27881505-I	NM_007189.1	
9104	GI_27883865-S	NM_021932.4	
9105	GI_27885012-S	NM_174918.1	
9106	GI_27886525-A	NM_173215.1	
9107	GI_27886525-I	NM_173215.1	
9108	GI_27886528-A	NM_173201.1	
9109	GI_27886536-A	NM_001681.2	
9110	GI_27886536-I	NM_001681.2	
9111	GI_27886537-I	NM_170665.2	
9112	GI_27886538-A	NM_012340.2	
9113	GI_27886540-I	NM_173091.1	
9114	GI_27886542-I	NM_004555.2	
9115	GI_27886554-I	NM_173163.1	
9116	GI_27886556-S	NM_002449.3	
9117	GI_27886558-A	NM_173164.1	
9118	GI_27886558-I	NM_173164.1	
9119	GI_27886565-A	NM_173844.1	
9120	GI_27886567-S	NM_022168.2	
9121	GI_27886569-I	NM_080794.2	
9122	GI_27886581-A	NM_017446.2	
9123	GI_27886585-I	NM_173174.1	
9124	GI_27886587-A	NM_173175.1	
9125	GI_27886591-I	NM_153831.2	
9126	GI_27886592-A	NM_005607.3	
9127	GI_27886594-S	NM_005975.2	
9128	GI_27886606-A	NM_152881.2	
9129	GI_27886627-S	NM_017653.2	
9130	GI_27886630-I	NM_172099.1	
9131	GI_27886632-A	NM_172100.1	
9132	GI_27886632-I	NM_172100.1	
9133	GI_27886634-I	NM_172101.1	
9134	GI_27886640-I	NM_001768.4	
9135	GI_27886641-A	NM_171827.1	
9136	GI_27886643-A	NM_033379.2	
9137	GI_27886647-A	NM_172376.1	
9138	GI_27886647-I	NM_172376.1	
9139	GI_27886649-I	NM_030779.2	
9140	GI_27886650-A	NM_173092.1	
9141	GI_27886652-I	NM_033272.2	
9142	GI_27886664-A	NM_173162.1	
9143	GI_27886664-I	NM_173162.1	
9144	GI_27886666-S	NM_144633.2	
9145	GI_27886675-I	NM_173194.1	
9146	GI_27886679-A	NM_173197.1	
9147	GI_27886679-I	NM_173197.1	
9148	GI_27886683-S	NM_014592.2	
9149	GI_27894283-S	NM_002558.2	
9150	GI_27894284-I	NM_138325.2	
9151	GI_27894286-A	NM_173341.1	
9152	GI_27894288-I	NM_016483.4	
9153	GI_27894289-A	NM_002643.2	
9154	GI_27894290-I	NM_173074.1	
9155	GI_27894292-I	NM_006718.2	
9156	GI_27894297-A	NM_173203.1	
9157	GI_27894301-I	NM_173205.1	
9158	GI_27894303-I	NM_032556.4	
9159	GI_27894305-S	NM_000576.2	
9160	GI_27894306-A	NM_173161.1	
9161	GI_27894308-I	NM_012275.2	
9162	GI_27894309-A	NM_173170.1	
9163	GI_27894311-I	NM_014438.3	
9164	GI_27894312-A	NM_173178.1	
9165	GI_27894312-I	NM_173178.1	
9166	GI_27894314-S	NM_019618.2	
9167	GI_27894318-A	NM_173842.1	
9168	GI_27894318-I	NM_173842.1	
9169	GI_27894320-I	NM_173843.1	
9170	GI_27894322-S	NM_006858.2	
9171	GI_27894323-A	NM_016232.4	
9172	GI_27894323-I	NM_016232.4	
9173	GI_27894325-I	NM_173459.1	
9174	GI_27894329-S	NM_000575.3	
9175	GI_27894331-S	NM_000877.2	
9176	GI_27894332-I	NM_004633.3	
9177	GI_27894333-A	NM_173343.1	
9178	GI_27894333-I	NM_173343.1	
9179	GI_27894335-S	NM_014271.2	
9180	GI_27894336-S	NM_019010.1	
9181	GI_27894338-I	NM_015515.3	
9182	GI_27894340-A	NM_173213.1	
9183	GI_27894340-I	NM_173213.1	
9184	GI_27894342-I	NM_002135.3	
9185	GI_27894345-A	NM_173158.1	
9186	GI_27894345-I	NM_173158.1	
9187	GI_27894352-A	NM_173173.1	
9188	GI_27894356-I	NM_173198.1	
9189	GI_27894358-A	NM_173199.1	
9190	GI_27894358-I	NM_173199.1	
9191	GI_27894363-S	NM_019617.2	
9192	GI_27894365-S	NM_173075.1	
9193	GI_27894367-S	NM_017617.2	
9194	GI_27894369-S	NM_004557.2	
9195	GI_27894372-A	NM_173177.1	
9196	GI_27894374-S	NM_001807.2	
9197	GI_27894375-S	NM_006614.2	
9198	GI_27894377-S	NM_053277.1	
9199	GI_27894379-S	NM_013434.3	
9200	GI_27894380-S	NM_001405.2	
9201	GI_27894383-S	NM_013231.2	
9202	GI_27894384-S	NM_003468.2	
9203	GI_27894386-S	NM_018063.3	
9204	GI_27894387-S	NM_014402.2	
9205	GI_27901802-S	NM_006742.1	
9206	GI_27923946-S	NM_174980.1	
9207	GI_28076868-S	NM_002974.1	
9208	GI_28077090-S	NM_030751.2	
9209	GI_28144892-A	NM_174881.1	
9210	GI_28144894-I	NM_174882.1	
9211	GI_28144896-A	NM_174858.1	
9212	GI_28144896-I	NM_174858.1	
9213	GI_28144898-I	NM_012093.2	
9214	GI_28144900-S	NM_172139.2	
9215	GI_28144902-S	NM_016584.2	
9216	GI_28144903-S	NM_144614.2	
9217	GI_28144904-S	NM_007123.3	
9218	GI_28144906-I	NM_052995.2	
9219	GI_28144911-A	NM_174880.1	
9220	GI_28144911-I	NM_174880.1	
9221	GI_28144915-S	NM_019104.1	
9222	GI_28144919-S	NM_172341.1	
9223	GI_28173557-S	NM_175067.1	
9224	GI_28173561-S	NM_175057.1	
9225	GI_28178815-A	NM_174855.1	
9226	GI_28178818-I	NM_174856.1	
9227	GI_28178824-S	NM_005896.2	
9228	GI_28178831-S	NM_002168.2	
9229	GI_28178835-S	NM_005530.2	
9230	GI_28178836-A	NM_004135.2	
9231	GI_28178837-A	NM_174869.1	
9232	GI_28178837-I	NM_174869.1	
9233	GI_28178841-I	NM_003244.2	
9234	GI_28178842-I	NM_170695.2	
9235	GI_28178844-I	NM_173207.1	
9236	GI_28178850-I	NM_173209.1	
9237	GI_28178854-A	NM_173211.1	
9238	GI_28178856-I	NM_174886.1	
9239	GI_28178860-S	NM_000586.2	
9240	GI_28178862-S	NM_020530.3	
9241	GI_28195383-S	NM_002523.1	
9242	GI_28195387-S	NM_032932.2	
9243	GI_28212219-S	NM_175569.1	
9244	GI_28212271-S	NM_174913.1	
9245	GI_28212273-S	NM_173464.1	
9246	GI_28212275-S	NM_173613.1	
9247	GI_28212277-S	NM_173658.1	
9248	GI_28269671-S	NM_006642.1	
9249	GI_28269680-S	NM_175614.1	
9250	GI_28269686-S	NM_175619.1	
9251	GI_28269692-S	NM_022166.1	
9252	GI_28269706-S	NM_175060.1	
9253	GI_28274681-S	NM_006974.1	
9254	GI_28274683-I	NM_020952.1	
9255	GI_28274685-S	NM_133466.1	
9256	GI_28274693-S	NM_033315.2	
9257	GI_28274698-S	NM_022456.2	
9258	GI_28274700-S	NM_145806.2	
9259	GI_28302128-S	NM_000518.4	
9260	GI_28302129-S	NM_005330.3	
9261	GI_28302130-S	NM_000559.2	
9262	GI_28302132-S	NM_000184.2	
9263	GI_28315872-S	NM_173480.1	
9264	GI_28316807-S	NM_173700.1	
9265	GI_28316809-S	NM_174923.1	
9266	GI_28329413-I	NM_004349.2	
9267	GI_28329415-A	NM_175634.1	
9268	GI_28329415-I	NM_175634.1	
9269	GI_28329418-I	NM_175635.1	
9270	GI_28329421-I	NM_175636.1	
9271	GI_28329424-I	NM_017692.2	
9272	GI_28329426-A	NM_175071.1	
9273	GI_28329438-A	NM_006531.2	
9274	GI_28329444-S	NM_014379.2	
9275	GI_28329446-S	NM_133497.2	
9276	GI_28372492-S	NM_003588.2	
9277	GI_28372496-S	NM_174916.1	
9278	GI_28372498-S	NM_013292.2	
9279	GI_28372502-S	NM_080747.1	
9280	GI_28372504-S	NM_175709.1	
9281	GI_28372506-S	NM_173859.1	
9282	GI_28372510-S	NM_174976.1	
9283	GI_28372512-S	NM_174978.1	
9284	GI_28372516-S	NM_175076.1	
9285	GI_28372518-S	NM_175570.1	
9286	GI_28372520-S	NM_014858.1	
9287	GI_28372524-S	NM_174897.1	
9288	GI_28372526-S	NM_174898.1	
9289	GI_28372530-S	NM_174907.1	
9290	GI_28372532-S	NM_174909.1	
9291	GI_28372534-S	NM_174910.1	
9292	GI_28372536-S	NM_174917.1	
9293	GI_28372538-S	NM_174921.1	
9294	GI_28372542-S	NM_174924.1	
9295	GI_28372544-S	NM_174925.1	
9296	GI_28372546-S	NM_174928.1	
9297	GI_28372550-S	NM_174932.1	
9298	GI_28372554-S	NM_174934.1	
9299	GI_28372558-S	NM_174937.1	
9300	GI_28372560-S	NM_174940.1	
9301	GI_28372562-S	NM_174942.1	
9302	GI_28372566-S	NM_174945.1	
9303	GI_28372568-S	NM_175056.1	
9304	GI_28373062-A	NM_147183.2	
9305	GI_28373062-I	NM_147183.2	
9306	GI_28373063-I	NM_025221.4	
9307	GI_28373064-S	NM_019842.2	
9308	GI_28373079-S	NM_003896.2	
9309	GI_28373083-A	NM_174970.1	
9310	GI_28373091-A	NM_175039.1	
9311	GI_28373095-S	NM_003034.2	
9312	GI_28373096-S	NM_006011.2	
9313	GI_28373098-A	NM_175052.1	
9314	GI_28373098-I	NM_175052.1	
9315	GI_28373100-S	NM_013305.2	
9316	GI_28373114-A	NM_174958.1	
9317	GI_28373118-A	NM_175038.1	
9318	GI_28373120-S	NM_005076.2	
9319	GI_28373121-I	NM_175607.1	
9320	GI_28373123-I	NM_175612.1	
9321	GI_28373125-A	NM_175613.1	
9322	GI_28373127-I	NM_014361.2	
9323	GI_28373128-A	NM_175566.1	
9324	GI_28373130-S	NM_014461.2	
9325	GI_28373193-A	NM_175573.1	
9326	GI_28376641-S	NM_013244.2	
9327	GI_28376642-S	NM_007250.2	
9328	GI_28376643-S	NM_001516.3	
9329	GI_28376644-S	NM_031477.2	
9330	GI_28376645-S	NM_172363.1	
9331	GI_28376647-S	NM_173821.1	
9332	GI_28376649-S	NM_173826.1	
9333	GI_28376651-S	NM_174927.1	
9334	GI_28376657-S	NM_173822.1	
9335	GI_28376659-S	NM_173825.1	
9336	GI_28376663-S	NM_174890.1	
9337	GI_28376665-S	NM_174906.1	
9338	GI_28376667-S	NM_174926.1	
9339	GI_28395019-S	NM_004828.2	
9340	GI_28395034-A	NM_004748.2	
9341	GI_28395034-I	NM_004748.2	
9342	GI_28395040-S	NM_173663.1	
9343	GI_28395048-S	NM_173827.1	
9344	GI_28395050-S	NM_174931.1	
9345	GI_28395052-S	NM_173820.1	
9346	GI_28411949-A	NM_175748.1	
9347	GI_28411949-I	NM_175748.1	
9348	GI_28416399-I	NM_003257.2	
9349	GI_28416401-A	NM_175610.1	
9350	GI_28416423-A	NM_175077.1	
9351	GI_28416425-A	NM_024061.2	
9352	GI_28416425-I	NM_024061.2	
9353	GI_28416426-I	NM_138494.1	
9354	GI_28416428-S	NM_024711.2	
9355	GI_28416430-S	NM_015660.1	
9356	GI_28416432-S	NM_018326.2	
9357	GI_28416433-S	NM_175054.2	
9358	GI_28416434-A	NM_018209.2	
9359	GI_28416437-S	NM_014570.3	
9360	GI_28416443-I	NM_175611.1	
9361	GI_28416445-A	NM_000830.2	
9362	GI_28416445-I	NM_000830.2	
9363	GI_28416898-A	NM_175085.1	
9364	GI_28416898-I	NM_175085.1	
9365	GI_28416900-I	NM_000819.3	
9366	GI_28416901-S	NM_003854.2	
9367	GI_28416910-A	NM_173065.1	
9368	GI_28416912-S	NM_145659.2	
9369	GI_28416914-S	NM_000588.3	
9370	GI_28416918-I	NM_170683.2	
9371	GI_28416920-A	NM_174872.1	
9372	GI_28416924-S	NM_002559.2	
9373	GI_28416928-A	NM_175567.1	
9374	GI_28416936-A	NM_175081.1	
9375	GI_28416936-I	NM_175081.1	
9376	GI_28416938-S	NM_005032.3	
9377	GI_28416939-S	NM_016038.2	
9378	GI_28416941-S	NM_006938.2	
9379	GI_28416942-S	NM_007107.2	
9380	GI_28416943-S	NM_003146.2	
9381	GI_28416944-S	NM_153236.2	
9382	GI_28416947-S	NM_145720.2	
9383	GI_28416948-S	NM_018384.2	
9384	GI_28416950-S	NM_002183.2	
9385	GI_28416951-S	NM_130759.2	
9386	GI_28416952-S	NM_032501.2	
9387	GI_28416954-S	NM_001700.3	
9388	GI_28416955-S	NM_175571.1	
9389	GI_28416957-S	NM_032383.3	
9390	GI_28460689-I	NM_025003.2	
9391	GI_28460691-S	NM_145282.1	
9392	GI_28460693-S	NM_152402.1	
9393	GI_28461128-S	NM_020319.1	
9394	GI_28461132-S	NM_174892.1	
9395	GI_28461170-S	NM_014766.2	
9396	GI_28461289-S	NM_053002.2	
9397	GI_28466978-S	NM_018460.2	
9398	GI_28466982-S	NM_014262.2	
9399	GI_28466986-I	NM_018579.2	
9400	GI_28466988-S	NM_020453.2	
9401	GI_28466990-S	NM_173500.2	
9402	GI_28466996-S	NM_004747.2	
9403	GI_28466998-I	NM_175861.1	
9404	GI_28467002-I	NM_175866.1	
9405	GI_28557676-I	NM_032458.1	
9406	GI_28557780-S	NM_006255.2	
9407	GI_28557782-I	NM_020532.3	
9408	GI_28558968-A	NM_015979.2	
9409	GI_28558968-I	NM_015979.2	
9410	GI_28558970-I	NM_004830.2	
9411	GI_28558972-S	NM_004229.2	
9412	GI_28558974-S	NM_004268.3	
9413	GI_28558976-S	NM_004831.2	
9414	GI_28558978-S	NM_004269.2	
9415	GI_28558980-S	NM_004270.3	
9416	GI_28558989-A	NM_175722.1	
9417	GI_28558991-A	NM_021956.2	
9418	GI_28558992-I	NM_175605.2	
9419	GI_28558997-A	NM_175847.1	
9420	GI_28558999-S	NM_170610.2	
9421	GI_28559000-S	NM_004905.2	
9422	GI_28559001-S	NM_130387.4	
9423	GI_28559002-I	NM_175768.1	
9424	GI_28559004-I	NM_003147.4	
9425	GI_28559005-A	NM_175698.1	
9426	GI_28559007-I	NM_021014.2	
9427	GI_28559008-A	NM_175711.1	
9428	GI_28559008-I	NM_175711.1	
9429	GI_28559010-S	NM_005635.2	
9430	GI_28559011-I	NM_005636.3	
9431	GI_28559012-A	NM_175729.1	
9432	GI_28559014-I	NM_021015.3	
9433	GI_28559016-A	NM_175723.1	
9434	GI_28559018-S	NM_173357.2	
9435	GI_28559030-A	NM_175728.1	
9436	GI_28559032-S	NM_000879.2	
9437	GI_28559038-S	NM_004774.2	
9438	GI_28559059-I	NM_006892.3	
9439	GI_28559062-A	NM_175849.1	
9440	GI_28559064-I	NM_175850.1	
9441	GI_28559066-I	NM_022552.3	
9442	GI_28559067-I	NM_153759.2	
9443	GI_28559070-A	NM_175630.1	
9444	GI_28559070-I	NM_175630.1	
9445	GI_28559072-I	NM_019025.2	
9446	GI_28559077-A	NM_175841.1	
9447	GI_28559079-I	NM_175842.1	
9448	GI_28559082-A	NM_019857.3	
9449	GI_28559082-I	NM_019857.3	
9450	GI_28559084-I	NM_175859.1	
9451	GI_28559087-S	NM_000426.2	
9452	GI_28559089-S	NM_000249.2	
9453	GI_28565284-A	NM_171997.1	
9454	GI_28565284-I	NM_171997.1	
9455	GI_28570169-S	NM_012378.1	
9456	GI_28603817-S	NM_176782.1	
9457	GI_28603839-S	NM_173809.1	
9458	GI_28605122-I	NM_002814.2	
9459	GI_28605136-A	NM_170750.1	
9460	GI_28605144-S	NM_000831.2	
9461	GI_28610146-I	NM_002184.2	
9462	GI_28610148-A	NM_175767.1	
9463	GI_28610150-S	NM_002185.2	
9464	GI_28610152-S	NM_000880.2	
9465	GI_28610153-S	NM_000584.2	
9466	GI_28610154-A	NM_005093.2	
9467	GI_28610155-I	NM_175864.1	
9468	GI_28626509-S	NM_020650.2	
9469	GI_28626515-S	NM_007257.3	
9470	GI_28626518-S	NM_002779.2	
9471	GI_28626520-S	NM_021035.1	
9472	GI_28629867-S	NM_000536.1	
9473	GI_28629870-S	NM_080622.1	
9474	GI_28827773-S	NM_003845.1	
9475	GI_28827775-S	NM_002348.1	
9476	GI_28827777-S	NM_020451.1	
9477	GI_28827788-S	NM_176810.1	
9478	GI_28827796-S	NM_176817.1	
9479	GI_28830307-S	NM_006588.2	
9480	GI_28849872-S	NM_019090.1	
9481	GI_28866946-S	NM_005949.1	
9482	GI_28866948-S	NM_024317.2	
9483	GI_28866959-S	NM_005946.1	
9484	GI_28866965-S	NM_176870.1	
9485	GI_28872718-S	NM_006763.2	
9486	GI_28872719-A	NM_002564.2	
9487	GI_28872721-S	NM_006806.3	
9488	GI_28872723-S	NM_017589.2	
9489	GI_28872724-S	NM_002815.2	
9490	GI_28872727-A	NM_002817.2	
9491	GI_28872729-I	NM_175932.1	
9492	GI_28872731-I	NM_176792.1	
9493	GI_28872733-I	NM_032112.2	
9494	GI_28872735-A	NM_176793.1	
9495	GI_28872737-I	NM_176794.1	
9496	GI_28872739-A	NM_176805.1	
9497	GI_28872741-S	NM_002563.2	
9498	GI_28872742-I	NM_176071.1	
9499	GI_28872744-I	NM_176072.1	
9500	GI_28872746-S	NM_002565.2	
9501	GI_28872747-S	NM_033445.2	
9502	GI_28872748-S	NM_175055.2	
9503	GI_28872749-I	NM_017434.3	
9504	GI_28872750-A	NM_175940.1	
9505	GI_28872752-S	NM_014080.3	
9506	GI_28872754-A	NM_004115.2	
9507	GI_28872754-I	NM_004115.2	
9508	GI_28872755-I	NM_175929.1	
9509	GI_28872757-I	NM_003913.3	
9510	GI_28872758-A	NM_176800.1	
9511	GI_28872758-I	NM_176800.1	
9512	GI_28872760-A	NM_003828.1	
9513	GI_28872762-I	NM_176789.1	
9514	GI_28872764-A	NM_174871.1	
9515	GI_28872775-A	NM_176086.1	
9516	GI_28872779-A	NM_175867.1	
9517	GI_28872781-I	NM_016408.2	
9518	GI_28872783-A	NM_016082.3	
9519	GI_28872785-S	NM_018249.3	
9520	GI_28872789-I	NM_176095.1	
9521	GI_28872791-A	NM_176096.1	
9522	GI_28872793-S	NM_004364.2	
9523	GI_28872795-S	NM_005194.2	
9524	GI_28872797-S	NM_005195.2	
9525	GI_28872799-S	NM_001805.2	
9526	GI_28872801-S	NM_001212.3	
9527	GI_28872802-I	NM_005187.4	
9528	GI_28872804-A	NM_175931.1	
9529	GI_28872804-I	NM_175931.1	
9530	GI_28872806-S	NM_080617.3	
9531	GI_28872807-S	NM_002045.2	
9532	GI_28872808-S	NM_016180.2	
9533	GI_28872811-S	NM_015358.1	
9534	GI_28872813-S	NM_017893.2	
9535	GI_28872862-S	NM_015455.2	
9536	GI_28875781-S	NM_022913.1	
9537	GI_28875783-S	NM_024742.1	
9538	GI_28875785-S	NM_033449.1	
9539	GI_28875796-S	NM_015607.2	
9540	GI_28875802-S	NM_153239.2	
9541	GI_28882025-S	NM_176881.1	
9542	GI_28882027-S	NM_176883.1	
9543	GI_28882030-S	NM_176885.1	
9544	GI_28882032-S	NM_176882.1	
9545	GI_28882034-S	NM_176888.1	
9546	GI_28882036-S	NM_176884.1	
9547	GI_28882038-S	NM_176890.1	
9548	GI_28882040-S	NM_176887.1	
9549	GI_28882046-S	NM_176889.1	
9550	GI_28882054-S	NM_005011.2	
9551	GI_28893580-A	NM_177398.1	
9552	GI_28912911-S	NM_177400.1	
9553	GI_28916690-A	NM_002456.3	
9554	GI_28916695-A	NM_032203.3	
9555	GI_28916697-S	NM_022090.2	
9556	GI_28933450-S	NM_015103.1	
9557	GI_28933464-S	NM_177424.1	
9558	GI_28951070-S	NM_032206.2	
9559	GI_28973794-S	NM_177437.1	
9560	GI_28973798-I	NM_177441.1	
9561	GI_29029527-S	NM_152616.3	
9562	GI_29029528-S	NM_017583.3	
9563	GI_29029529-I	NM_176825.1	
9564	GI_29029531-A	NM_001056.2	
9565	GI_29029531-I	NM_001056.2	
9566	GI_29029532-A	NM_014351.2	
9567	GI_29029533-I	NM_176874.1	
9568	GI_29029541-I	NM_005799.2	
9569	GI_29029543-I	NM_170605.2	
9570	GI_29029545-A	NM_176877.1	
9571	GI_29029547-I	NM_176878.1	
9572	GI_29029549-I	NM_017424.2	
9573	GI_29029551-A	NM_177405.1	
9574	GI_29029551-I	NM_177405.1	
9575	GI_29029553-S	NM_024649.4	
9576	GI_29029554-A	NM_018190.2	
9577	GI_29029554-I	NM_018190.2	
9578	GI_29029556-I	NM_176824.1	
9579	GI_29029558-I	NM_001316.2	
9580	GI_29029560-A	NM_177436.1	
9581	GI_29029560-I	NM_177436.1	
9582	GI_29029562-A	NM_053055.2	
9583	GI_29029570-I	NM_006889.2	
9584	GI_29029571-A	NM_175862.2	
9585	GI_29029571-I	NM_175862.2	
9586	GI_29029588-A	NM_177434.1	
9587	GI_29029590-I	NM_177439.1	
9588	GI_29029592-S	NM_017629.2	
9589	GI_29029594-S	NM_014619.2	
9590	GI_29029596-S	NM_002088.3	
9591	GI_29029598-S	NM_006639.2	
9592	GI_29029599-S	NM_020377.2	
9593	GI_29029600-S	NM_032656.2	
9594	GI_29029602-S	NM_002566.3	
9595	GI_29029604-A	NM_176876.1	
9596	GI_29029606-I	NM_004154.3	
9597	GI_29029609-A	NM_176797.1	
9598	GI_29029611-I	NM_176798.1	
9599	GI_29029613-S	NM_021048.3	
9600	GI_29029614-S	NM_005366.3	
9601	GI_29029615-S	NM_004988.3	
9602	GI_29029616-I	NM_005361.2	
9603	GI_29029617-A	NM_175742.1	
9604	GI_29029619-I	NM_175743.1	
9605	GI_29029622-S	NM_005362.3	
9606	GI_29029623-S	NM_002362.3	
9607	GI_29029624-S	NM_021049.2	
9608	GI_29029625-A	NM_005363.2	
9609	GI_29029626-I	NM_175868.1	
9610	GI_29029628-S	NM_005364.3	
9611	GI_29029631-S	NM_004304.3	
9612	GI_29126184-S	NM_032740.2	
9613	GI_29126186-S	NM_032874.2	
9614	GI_29126188-S	NM_032900.2	
9615	GI_29126221-S	NM_080603.2	
9616	GI_29126235-S	NM_174947.2	
9617	GI_29126237-S	NM_001207.3	
9618	GI_29126240-S	NM_177478.1	
9619	GI_29126244-S	NM_176886.1	
9620	GI_29135342-S	NM_005340.2	
9621	GI_29135352-S	NM_177527.1	
9622	GI_29171294-S	NM_020663.2	
9623	GI_29171679-S	NM_000634.2	
9624	GI_29171680-S	NM_001557.2	
9625	GI_29171681-A	NM_002186.2	
9626	GI_29171681-I	NM_002186.2	
9627	GI_29171683-I	NM_176786.1	
9628	GI_29171685-A	NM_030768.2	
9629	GI_29171686-I	NM_176799.1	
9630	GI_29171688-S	NM_012276.2	
9631	GI_29171690-I	NM_006844.3	
9632	GI_29171691-A	NM_176826.1	
9633	GI_29171691-I	NM_176826.1	
9634	GI_29171701-I	NM_176869.1	
9635	GI_29171703-A	NM_014599.4	
9636	GI_29171703-I	NM_014599.4	
9637	GI_29171704-I	NM_177433.1	
9638	GI_29171706-I	NM_002363.3	
9639	GI_29171708-A	NM_177404.1	
9640	GI_29171708-I	NM_177404.1	
9641	GI_29171715-S	NM_002367.2	
9642	GI_29171716-I	NM_001503.2	
9643	GI_29171718-A	NM_177483.1	
9644	GI_29171718-I	NM_177483.1	
9645	GI_29171720-I	NM_023914.2	
9646	GI_29171722-A	NM_176894.1	
9647	GI_29171722-I	NM_176894.1	
9648	GI_29171724-S	NM_170745.2	
9649	GI_29171725-S	NM_002667.2	
9650	GI_29171726-A	NM_020674.2	
9651	GI_29171728-S	NM_175065.2	
9652	GI_29171729-I	NM_177538.1	
9653	GI_29171731-S	NM_019609.2	
9654	GI_29171732-S	NM_012199.2	
9655	GI_29171733-S	NM_012154.2	
9656	GI_29171735-A	NM_003711.2	
9657	GI_29171735-I	NM_003711.2	
9658	GI_29171737-I	NM_176895.1	
9659	GI_29171739-I	NM_003713.3	
9660	GI_29171741-A	NM_177414.1	
9661	GI_29171744-A	NM_177526.1	
9662	GI_29171746-I	NM_177543.1	
9663	GI_29171748-I	NM_006238.2	
9664	GI_29171749-A	NM_177435.1	
